,neighbors
144,"['1304900005W' '1322900003A' '13025000002' '13299000400' '13229000002'
 '1322900003B' '1304900005R']"
145,['13161000202' '13161000301' '13161000100']
146,['13123000009' '13123000001' '13123000008' '13123000013' '13123000007']
147,"['13151000037' '13217000010' '13151000062' '132470000LO' '13151000043'
 '132470000BA']"
148,"['13151000053' '13151000041' '13151000033' '13151000054' '13151000042'
 '13151000050']"
149,"['130050DOUGL' '1322900004A' '13229000002' '13229000001' '1322900003B'
 '1322900004B' '1322900004D']"
150,"['1315300ROZR' '13153000TMS' '1315300FMMS' '1315300MCMS' '132250000F2'
 '132250000B2' '132250000P1']"
151,['13303000088' '13303000097' '13303000091' '13303001253' '13303000094']
152,"['13029000010' '13029000006' '13179000003' '13179000006' '13029000005'
 '13029000009' '1305106-10C' '13029000007']"
153,['13029000008' '13029000004' '13179000006' '13029000009' '13029000007']
154,['13029000008' '13029000004' '1305106-11C' '13029000005' '1305106-10C']
155,"['13029000003' '13029000002' '13029000004' '13109000011' '13179000013'
 '1305107-08C' '1305106-11C' '13029000001']"
156,"['13029000010' '13029000006' '13029FTSTEW' '13179000006' '13179000013'
 '1305106-11C' '13029000005' '13029000009' '1305106-10C']"
157,"['13263000005' '13197000955' '13263000006' '13263000001' '13263000003'
 '13197000339']"
158,['13319000010' '13319000005' '13319000007' '13319000006' '13319000002']
159,"['13319000010' '13319000008' '132890000DB' '1328900JV/W' '13319000007'
 '13319000004']"
160,"['13269000005' '132250000F1' '13079000002' '13193000001' '13293000589'
 '13193000003' '13263000003' '1307900001A' '1307900001B' '13269000001']"
161,['13209000001' '13209000007' '13279000513' '13279000043' '13209000003']
162,"['13177000005' '13177000001' '13177000003' '13177000002' '13177000010'
 '13177000009' '13177000008']"
163,"['13177000004' '13177000003' '13273000002' '13177000007' '13177000006'
 '13177000009' '13177000008']"
164,"['131210EP04A' '131210SC19B' '131210SC17C' '131210SC19A' '131210SC18C'
 '131210SC18A' '131210SC18B' '131210011E3' '131210011E1']"
165,"['131210EP04B' '131210SC19B' '131210CP051' '131210CP07C' '131210EP03B'
 '131210CP012' '131210011E3' '131210CP07A' '1312100011J']"
166,"['131210EP04B' '131210EP04A' '131210CP051' '131210CP052' '131210SC08B'
 '131210CP084' '131210SC17C' '131210CP053']"
167,['1312100006G' '1312100002K' '1312100006J' '131210002L1' '131210002F2']
168,['1312100002J' '1312100006J' '131210002F1' '1312100006B' '131210002F2']
169,['1312100001R' '130890000MB' '1312100001C' '1312100001B']
170,"['131210EP04A' '131210SC19B' '131210CP07F' '131210CP052' '131210CP07C'
 '131210CP053' '131210CP06A' '131210CP07E' '131210CP07A' '131210CP05B']"
171,['131210CP051' '131210CP07D' '131210CP07E' '131210CP07A' '131210CP05B']
172,"['131210SC19B' '131210CP051' '131210CP084' '131210CP053' '131210CP06A'
 '131210CP08A' '131210CP06B' '131210CP081']"
173,['131210CP07F' '131210CP07E' '131210CP07A' '131210CP07B' '131210CP05B']
174,['131210EP04A' '131210CP051' '131210CP07A']
175,"['1312100002D' '1312100005J' '131210005A2' '131210005A1' '1312100002E'
 '1312100005K' '1312100002S' '131210002F1']"
176,['13151000025' '1303500BCCC' '13151000048' '13151000026']
177,['13119000001' '13119000002' '13257000001' '13257000007' '13257000005']
178,['13119000001' '13119000004' '13257000008' '13147000007' '13257000006']
