,neighbors
302,"['04013000005' '04013000025' '04013000101' '04013000364' '04013000640'
 '04013000724' '04021000061']"
303,['04013000256' '04013000316' '04013000369' '04013000524' '04013000687']
304,['04013000227' '04013000324' '04013000346' '04013000543' '04013000721']
305,"['04013000055' '04013000109' '04013000131' '04013000148' '04013000169'
 '04013000173' '04013000373' '04013000547' '04013000599']"
306,"['04013000228' '04013000256' '04013000428' '04013000493' '04013000524'
 '04013000707' '04021000062']"
307,"['04013000011' '04013000105' '04013000135' '04013000187' '04013000426'
 '04013000451' '04013000692' '04013000705']"
308,['04013000182' '04013000740']
309,"['04013000103' '04013000300' '04013000362' '04013000363' '04013000542'
 '04013000582']"
310,"['04013000034' '04013000090' '04013000259' '04013000340' '04013000397'
 '04013000398' '04013000479' '04013000560']"
311,['04013000108' '04013000361' '04013000571' '04013000577' '04013000584']
312,"['04013000039' '04013000310' '04013000332' '04013000427' '04013000476'
 '04013000686']"
313,['04013000145' '04013000161' '04013000628' '04013000643' '04013000656']
314,"['04013000115' '04013000116' '04013000199' '04013000263' '04013000390'
 '04013000460' '04013000587']"
315,['04013000038' '04013000243' '04013000265' '04013000294' '04013000729']
316,['04013000152' '04013000374' '04013000391' '04013000448' '04013000725']
317,"['04013000119' '04013000237' '04013000354' '04013000546' '04013000605'
 '04013000617' '04013000618']"
318,['04013000006' '04013000216' '04013000353' '04013000578' '04013000590']
319,"['04013000301' '04013000494' '04013000512' '04013000558' '04013000563'
 '04013000674']"
320,['04013000011' '04013000085' '04013000348' '04013000414']
321,"['04013000026' '04013000147' '04013000262' '04013000365' '04013000419'
 '04013000516' '04013000668']"
322,"['04013000175' '04013000432' '04013000436' '04013000438' '04013000593'
 '04013000736']"
323,"['04013000266' '04013000271' '04013000540' '04013000625' '04013000700'
 '04025000046']"
324,['04013000035' '04013000372' '04013000455' '04013000488' '04013000517']
325,"['04013000047' '04013000204' '04013000221' '04013000290' '04013000295'
 '04013000326' '04013000385' '04013000392' '04013000485' '04013000601'
 '04013000720']"
326,"['04013000011' '04013000079' '04013000097' '04013000135' '04013000348'
 '04013000681' '04013000705']"
327,['04013000096' '04013000271' '04013000377' '04013000625' '04013000666']
328,"['04013000124' '04013000424' '04013000550' '04013000630' '04013000678'
 '04013000693' '04013000710']"
329,"['04013000126' '04013000165' '04013000202' '04013000331' '04013000565'
 '04013000692']"
330,"['04013000002' '04013000015' '04013000059' '04013000145' '04013000273'
 '04013000510' '04013000628']"
331,['04013000044' '04013000069' '04013000479' '04013000560']
332,"['04013000105' '04013000128' '04013000135' '04013000154' '04013000187'
 '04013000194' '04013000461' '04013000708']"
333,['04013000300' '04013000360' '04013000459' '04013000548' '04013000614']
334,"['04013000136' '04013000282' '04013000575' '04013000635' '04013000670'
 '04013000707']"
335,"['04013000201' '04013000275' '04013000287' '04013000494' '04013000512'
 '04013000566']"
336,['04013000109' '04013000148' '04013000169' '04013000208' '04013000447']
337,"['04013000086' '04013000113' '04013000196' '04013000377' '04013000527'
 '04013000625' '04013000662']"
338,"['04013000085' '04013000280' '04013000348' '04013000498' '04013000681'
 '04013000717']"
