,neighbors
152,"['32003001641' '32003001642' '32003001643' '32003001644' '32003001645'
 '32003001651' '32003001652' '32003001653']"
153,"['32003001038' '32003001617' '32003001623' '32003001625' '32003001632'
 '32003001662' '32003001664']"
154,"['32003001625' '32003001632' '32003001641' '32003001652' '32003001653'
 '32003001661' '32003001664']"
155,"['32003001038' '32003001303' '32003001617' '32003001651' '32003001652'
 '32003001653' '32003001661' '32003001662']"
156,"['32003001643' '32003001644' '32003001645' '32003001683' '32003007502'
 '32003007504']"
157,"['32003001348' '32003001349' '32003001354' '32003001356' '32003001365'
 '32003001389' '32003001390' '32003001553' '32003001669' '32003001670'
 '32003001711' '32003006467' '32003006600' '32003006609' '32003006610']"
158,"['32003001340' '32003001341' '32003001354' '32003001668' '32003001670'
 '32003006467' '32003006712']"
159,"['32003001340' '32003001341' '32003001342' '32003001351' '32003001354'
 '32003001367' '32003001668' '32003001669']"
160,"['32003001067' '32003001930' '32003001943' '32003007542' '32003007552'
 '32003007561' '32003007926']"
161,"['32003001410' '32003001674' '32003007642' '32003007643' '32003007644'
 '32003007651']"
162,['32003001353' '32003001391' '32003007652' '32003007653']
163,"['32003001410' '32003001513' '32003001517' '32003001672' '32003001675'
 '32003001681' '32003001935' '32003007642' '32003007643']"
164,"['32003001410' '32003001411' '32003001550' '32003001674' '32003001681'
 '32003001935']"
165,['32003001063' '32003001677' '32003001679' '32003001684' '32003001687']
166,"['32003001063' '32003001346' '32003001676' '32003001678' '32003001679'
 '32003001680' '32003001687']"
167,"['32003001346' '32003001677' '32003001679' '32003001680' '32003001687'
 '32003007701' '32003007702' '32003007705']"
168,"['32003001676' '32003001677' '32003001678' '32003001680' '32003001683'
 '32003001684']"
169,"['32003001677' '32003001678' '32003001679' '32003001682' '32003001683'
 '32003007702' '32003007705']"
170,['32003001550' '32003001674' '32003001675' '32003001935']
171,['32003001680' '32003001683' '32003007311' '32003007705']
172,"['32003001644' '32003001645' '32003001665' '32003001679' '32003001680'
 '32003001682' '32003001684' '32003001685' '32003001686' '32003001691'
 '32003001692' '32003007311' '32003007504' '32003007734']"
173,"['32003001063' '32003001330' '32003001676' '32003001679' '32003001683'
 '32003001686']"
174,['32003001683' '32003001686' '32003001691' '32003001692' '32003001704']
175,"['32003001330' '32003001331' '32003001683' '32003001684' '32003001685'
 '32003001692' '32003001704' '32003006712']"
176,"['32003001063' '32003001137' '32003001346' '32003001676' '32003001677'
 '32003001678' '32003001688' '32003001689']"
177,['32003001063' '32003001334' '32003001335' '32003001687' '32003001689']
178,"['32003001137' '32003001335' '32003001342' '32003001343' '32003001344'
 '32003001346' '32003001687' '32003001688' '32003007653' '32003007654']"
179,"['32003001644' '32003001683' '32003001685' '32003001692' '32003001693'
 '32003001694']"
180,"['32003001683' '32003001685' '32003001686' '32003001691' '32003001693'
 '32003001694' '32003001702' '32003001704']"
181,"['32003001327' '32003001691' '32003001692' '32003001694' '32003001695'
 '32003001702' '32003001704']"
182,"['32003001644' '32003001651' '32003001691' '32003001692' '32003001693'
 '32003001695']"
183,"['32003001303' '32003001304' '32003001318' '32003001327' '32003001609'
 '32003001618' '32003001644' '32003001651' '32003001693' '32003001694'
 '32003001702']"
184,"['32003001327' '32003001692' '32003001693' '32003001695' '32003001703'
 '32003001704' '32003006713' '32003006715']"
185,"['32003001318' '32003001327' '32003001619' '32003001702' '32003006713'
 '32003006714' '32003006740']"
186,"['32003001331' '32003001685' '32003001686' '32003001692' '32003001693'
 '32003001702' '32003006712' '32003006713' '32003006715' '32003006721']"
187,"['32003001349' '32003001363' '32003001365' '32003001384' '32003001390'
 '32003001553' '32003001668' '32003001906']"
188,['32003001525' '32003001713' '32003001715' '32003001721' '32003001922']
189,['32003001384' '32003001525' '32003001712' '32003001922']
190,"['32003001390' '32003001395' '32003001521' '32003001712' '32003001721'
 '32003001722' '32003001922']"
191,"['32003001518' '32003001525' '32003001718' '32003001719' '32003001720'
 '32003001721' '32003001722']"
192,['32003001510' '32003001518' '32003001717' '32003001719' '32003001935']
193,['32003001717' '32003001718' '32003001720' '32003001727' '32003001935']
194,['32003001509' '32003001525' '32003001717' '32003001719' '32003001727']
195,"['32003001518' '32003001521' '32003001525' '32003001712' '32003001715'
 '32003001717' '32003001722']"
196,"['32003001395' '32003001518' '32003001520' '32003001521' '32003001715'
 '32003001717' '32003001721']"
197,['32003001509' '32003001528' '32003001719' '32003001720' '32003001935']
198,"['32003001067' '32003001384' '32003001912' '32003001928' '32003001929'
 '32003001943' '32003006488']"
199,['32003001074' '32003001751']
200,['32003001067' '32003001074' '32003001750']
201,['32003001074']
202,['32003001921' '32003001930' '32003001935' '32003001940']
203,['32003001921' '32003001930' '32003001935' '32003001946']
204,['32003001349' '32003001390' '32003001711']
205,['32003001377' '32003001384']
206,['32003001384']
207,['32003001384']
208,['32003001067' '32003001732']
209,['32003001930' '32003001935' '32003007564' '32003007745' '32003007912']
210,['32003001378' '32003001384']
211,['32003001384' '32003001385']
212,['32003001382' '32003001384']
213,['32003001384']
214,['32003001903' '32003001905' '32003001930' '32003001935']
215,"['32003001384' '32003001390' '32003001395' '32003001712' '32003001713'
 '32003001715']"
216,['32003001384']
217,['32003001384']
218,['32003001384' '32003001533']
219,['32003001384']
220,"['32003001384' '32003001533' '32003001732' '32003001929' '32003006488'
 '32003006500']"
221,['32003001384' '32003001533' '32003001732' '32003001928' '32003001943']
222,"['32003001671' '32003001903' '32003001905' '32003001915' '32003001921'
 '32003001935' '32003001940' '32003001943' '32003001946' '32003007561'
 '32003007564']"
223,"['32003001510' '32003001513' '32003001514' '32003001528' '32003001550'
 '32003001674' '32003001675' '32003001681' '32003001718' '32003001719'
 '32003001727' '32003001903' '32003001905' '32003001915' '32003001921'
 '32003001930' '32003001940' '32003001943' '32003001946' '32003007601'
 '32003007603' '32003007611' '32003007612' '32003007745']"
224,['32003001903' '32003001930' '32003001935' '32003001943']
225,"['32003001067' '32003001384' '32003001528' '32003001671' '32003001732'
 '32003001929' '32003001930' '32003001935' '32003001940']"
226,['32003001905' '32003001930' '32003001935']
227,['32003001384' '32003001960']
228,['32003001384' '32003001959']
229,['32003001361' '32003001384']
230,"['32003002037' '32003002044' '32003002354' '32003002366' '32003002371'
 '32003002382' '32003004501' '32003004502']"
231,"['32003002008' '32003002044' '32003002352' '32003002353' '32003002354'
 '32003002366' '32003002371' '32003002709']"
232,"['32003002008' '32003002037' '32003002360' '32003002366' '32003002606'
 '32003002709' '32003002710' '32003003702' '32003003721' '32003003742'
 '32003003855' '32003004508']"
233,"['32003002469' '32003002503' '32003002723' '32003002726' '32003002727'
 '32003002916' '32003002978']"
