,neighbors
233,['48027000404' '48027000412' '48027000413']
234,"['48027000110' '48027000204' '48027000205' '48027000207' '48027000404'
 '48027000408' '48027000410']"
235,"['48027000110' '48027000205' '48027000206' '48027000207' '48027000404'
 '48027000406' '48027000409' '48027000412' '48027000413']"
236,"['48027000206' '48027000210' '48027000401' '48027000402' '48027000408'
 '48027000413']"
237,['48027000109' '48027000110' '48027000204' '48027000406']
238,['48027000404' '48027000405' '48027000408' '48027000413']
239,"['48027000401' '48027000404' '48027000405' '48027000408' '48027000409'
 '48027000412' '48099000207' '48099000311']"
240,"['48029001003' '48029001098' '48029002001' '48029002033' '48029002051'
 '48029002117' '48029004001' '48029004018']"
241,['48029001024' '48029001076' '48029001079' '48029001100' '48029001147']
242,"['48029001001' '48029001008' '48029001010' '48029001074' '48029001098'
 '48029001120' '48029004018' '48029004048']"
243,"['48029001005' '48029001017' '48029001028' '48029001074' '48029001097'
 '48029001119' '48029001120' '48029004048']"
244,['48029001004' '48029001006' '48029001074' '48029001097' '48029001119']
245,"['48029001005' '48029001007' '48029001014' '48029001015' '48029001074'
 '48029001077' '48029001097' '48029001098' '48029002018' '48029002117'
 '48029002118']"
246,['48029001006' '48029001013' '48029001014' '48029001077']
247,"['48029001003' '48029001010' '48029001126' '48029004001' '48029004014'
 '48029004018' '48029004075']"
248,['48029001027' '48029001100' '48029001101' '48029001110' '48029001140']
249,"['48029001003' '48029001008' '48029001120' '48029004014' '48029004016'
 '48029004048']"
250,['48029001016' '48029001017' '48029001018' '48029001028' '48029001097']
251,"['48029001033' '48029001036' '48029001070' '48029001071' '48029001085'
 '48029001135' '48029001136']"
252,"['48029001007' '48029001014' '48029001026' '48029001029' '48029001030'
 '48029001077' '48029001078' '48029002118']"
253,"['48029001006' '48029001007' '48029001013' '48029001015' '48029001023'
 '48029001026']"
254,['48029001006' '48029001014' '48029001023' '48029001097']
255,"['48029001011' '48029001018' '48029001021' '48029001023' '48029001097'
 '48029001127']"
256,"['48029001004' '48029001011' '48029001018' '48029001019' '48029001028'
 '48029004026' '48029004048' '48029004124']"
257,"['48029001011' '48029001016' '48029001017' '48029001019' '48029001020'
 '48029001021']"
258,"['48029001017' '48029001018' '48029001020' '48029001050' '48029001053'
 '48029004026' '48029004124']"
259,"['48029001018' '48029001019' '48029001021' '48029001049' '48029001050'
 '48029001053']"
260,"['48029001016' '48029001018' '48029001020' '48029001047' '48029001049'
 '48029001050' '48029001127']"
261,"['48029001023' '48029001025' '48029001040' '48029001045' '48029001046'
 '48029001047' '48029001127']"
262,"['48029001014' '48029001015' '48029001016' '48029001022' '48029001025'
 '48029001026' '48029001097' '48029001127']"
263,"['48029001002' '48029001076' '48029001079' '48029001080' '48029001139'
 '48029001147']"
264,['48029001022' '48029001023' '48029001026' '48029001040']
265,"['48029001013' '48029001014' '48029001023' '48029001025' '48029001030'
 '48029001040']"
266,"['48029001009' '48029001082' '48029001100' '48029001110' '48029001112'
 '48029001140']"
267,['48029001004' '48029001011' '48029001017' '48029001097']
268,"['48029001013' '48029001030' '48029001031' '48029001078' '48029001088'
 '48029001090' '48029001096' '48029002029' '48029002030' '48029002032']"
269,"['48029001013' '48029001026' '48029001029' '48029001031' '48029001032'
 '48029001033' '48029001035' '48029001039' '48029001040' '48029001041'
 '48029001090' '48029001096' '48029002043' '48029002044']"
270,"['48029001029' '48029001030' '48029001032' '48029001088' '48029001096'
 '48029002043']"
271,"['48029001030' '48029001031' '48029001088' '48029002011' '48029002017'
 '48029002019' '48029002043']"
272,"['48029001012' '48029001030' '48029001035' '48029001036' '48029001038'
 '48029001084' '48029001085' '48029001131' '48029001132' '48029002044']"
273,['48029001116' '48029001118' '48029001125' '4832500002A']
274,"['48029001030' '48029001033' '48029001037' '48029001038' '48029001039'
 '48029001131' '48029001132']"
275,"['48029001012' '48029001033' '48029001038' '48029001075' '48029001085'
 '48029001094' '48029001095' '48029001134' '48029001135']"
276,['48029001035' '48029001038']
277,"['48029001033' '48029001035' '48029001036' '48029001037' '48029001039'
 '48029001075']"
278,"['48029001030' '48029001035' '48029001038' '48029001041' '48029001060'
 '48029001061' '48029001075' '48029001146']"
279,"['48029001022' '48029001025' '48029001026' '48029001030' '48029001041'
 '48029001045' '48029001046']"
280,"['48029001030' '48029001039' '48029001040' '48029001042' '48029001045'
 '48029001060']"
281,['48029001041' '48029001044' '48029001045' '48029001060']
282,['48029001070' '48029001080' '48029001084' '48029001085' '48029001086']
283,"['48029001042' '48029001045' '48029001046' '48029001060' '48029001092'
 '48029001105']"
284,"['48029001022' '48029001040' '48029001041' '48029001042' '48029001044'
 '48029001046']"
285,"['48029001022' '48029001040' '48029001044' '48029001045' '48029001047'
 '48029001048' '48029001059' '48029001105' '48029001127']"
286,"['48029001021' '48029001022' '48029001046' '48029001048' '48029001049'
 '48029001127']"
287,"['48029001046' '48029001047' '48029001049' '48029001052' '48029001054'
 '48029001056' '48029001059']"
288,"['48029001020' '48029001021' '48029001047' '48029001048' '48029001050'
 '48029001051' '48029001052' '48029001127']"
289,"['48029001019' '48029001020' '48029001021' '48029001049' '48029001051'
 '48029001053']"
290,['48029001049' '48029001050' '48029001052' '48029001053']
291,['48029001048' '48029001049' '48029001051' '48029001053' '48029001054']
292,"['48029001019' '48029001020' '48029001050' '48029001051' '48029001052'
 '48029001054' '48029001056' '48029001089' '48029001091' '48029001117'
 '48029004124']"
293,['48029001048' '48029001052' '48029001053' '48029001056' '48029001059']
294,"['48029001104' '48029001111' '48029002068' '48029002069' '48029002088'
 '48029002106']"
295,"['48029001048' '48029001053' '48029001054' '48029001059' '48029001089'
 '48029001124']"
296,"['48013000022' '48029001089' '48029001102' '48029004074' '48029004129'
 '48029004180' '48493000103' '48493000104']"
297,"['48013000007' '48029001059' '48029001105' '48029001107' '48029001123'
 '48029001124']"
298,"['48029001046' '48029001048' '48029001054' '48029001056' '48029001058'
 '48029001105' '48029001123' '48029001124']"
299,"['48029001039' '48029001041' '48029001042' '48029001044' '48029001061'
 '48029001062' '48029001092' '48029001105' '48029001146']"
300,['48029001039' '48029001060' '48029001075' '48029001094' '48029001146']
301,"['48029001060' '48029001063' '48029001092' '48029001105' '48029001114'
 '48029001146']"
