,neighbors
232,"['1701500MC02' '1701500SA01' '1701500SA02' '1701500SA03' '1701500SA05'
 '1701500WD00' '1701500WN00']"
233,['1701500MC02' '1701500SA03' '1701500SA04' '1701500SA06']
234,['1701500MC02' '1701500SA03' '1701500SA05' '1701500YK00']
235,"['1701500FD00' '1701500FH00' '1701500MC01' '1701500MC02' '1701500MC03'
 '1701500RL01' '1701500WY01' '1701500YK00']"
236,"['1701500FD00' '1701500MC01' '1701500MC02' '1701500SA04' '1701500WN00'
 '17085000201' '17085000401' '17085001201']"
237,"['1701500MC02' '1701500SA01' '1701500SA04' '1701500WD00' '17085000401'
 '17085000901' '17085001201']"
238,"['1701500EK00' '1701500FH00' '1701500RL01' '1701500RL02' '1701500SM00'
 '1701500WY02']"
239,"['1701500EK00' '1701500FH00' '1701500WY01' '1719500CL01' '1719500GE01'
 '1719500JO01']"
240,"['1701500FH00' '1701500MC02' '1701500SA06' '1701500SM00' '1719500FU04'
 '1719500US01']"
241,"['17017000302' '17017000410' '17017000609' '17017001012' '17017001114'
 '1713700AR01' '1713700CN01']"
242,"['17017000221' '17017000719' '17017000817' '17017000916' '17129000009'
 '171670CA001']"
243,['17017000220' '17017000916' '1713700PS01' '171670CA001']
244,['17017000302' '17017000303' '17017000410' '17169001301']
245,"['17017000111' '17017000301' '17017000303' '17017000306' '17017000410'
 '17017000609']"
246,['17017000301' '17017000302' '17017000304' '17017000306' '17169001301']
247,['17017000303' '17017000305' '17017000306' '17169001301']
248,['17017000304' '17017000306' '17169001301']
249,"['17017000302' '17017000303' '17017000304' '17017000305' '17017000307'
 '17017000308' '17017000609' '17169001301']"
250,['17009000201' '17017000306' '17017000308' '17017000609' '17169001201']
251,['17017000306' '17017000307' '17169001201' '17169001301']
252,"['17017000111' '17017000301' '17017000302' '17017000609' '17017001012'
 '17017001114' '1712500LB01' '17169000901' '17169001301']"
253,"['17017000719' '17017000817' '17017001012' '1712500BT01' '1712500KB01'
 '1712500LB01' '17129000008']"
254,"['17009000201' '17009000901' '17009000902' '17017000111' '17017000302'
 '17017000306' '17017000307' '17017000410' '1713700CN01' '1713700MD01']"
255,"['17017000220' '17017000518' '17017000817' '17017000916' '17129000008'
 '17129000009']"
256,"['17017000220' '17017000518' '17017000719' '17017000916' '17017001012'
 '17017001113']"
257,"['17017000220' '17017000221' '17017000719' '17017000817' '17017001012'
 '17017001113' '17017001115' '1713700LT01' '1713700PS01']"
258,"['17017000111' '17017000410' '17017000518' '17017000817' '17017000916'
 '17017001113' '17017001114' '1712500BT01' '1712500LB01']"
259,['17017000817' '17017000916' '17017001012' '17017001114' '17017001115']
260,"['17017000111' '17017000410' '17017001012' '17017001113' '17017001115'
 '1713700AR01' '1713700LT01']"
261,['17017000916' '17017001113' '17017001114' '1713700LT01']
262,"['17019RAY000' '17019SID000' '17019SOH000' '1704100NM01' '1704500YA01'
 '1718300SI01']"
263,"['17019BFO000' '17019CON000' '17019EBE000' '17019NEW000' '1705300DM04'
 '1705300DX01']"
264,"['17019BF1000' '17019NEW000' '1705300DM02' '1705300DM04' '17113000401'
 '17113000701']"
265,"['17019CC0200' '17019CC0600' '17019CC0700' '17019CC1200' '17019CN0100'
 '17019CN0200' '17019UR3000']"
266,['17019CC0100' '17019CC0300' '17019CC0700' '17019CN0100' '17019CN0200']
267,"['17019CC0200' '17019CC0400' '17019CC0700' '17019CC0800' '17019CN0200'
 '17019CN0300']"
268,"['17019CC0300' '17019CC0500' '17019CC0700' '17019CC0800' '17019CN0300'
 '17019CN0400']"
