,neighbors
286,"['37025001-02' '37025001-07' '37025001-10' '37025010-00' '37025011-01'
 '37025012-12']"
287,"['37025001-07' '37025001-08' '37025001-11' '37025002-03' '37025012-09'
 '37025012-12']"
288,"['37025001-04' '37025001-07' '37025001-10' '37025002-03' '37119000205'
 '37119000212' '37119000237' '371190204.1']"
289,"['37025002-05' '37025002-06' '37025002-07' '37025002-08' '37025004-08'
 '37025012-08' '37025012-09' '37025012-13']"
290,['37025002-03' '37025002-05' '37025002-07' '37025002-08' '37025002-09']
291,"['37025001-10' '37025001-11' '37025002-02' '37025002-05' '37025002-09'
 '37025012-09' '37119000212']"
292,['37025002-01' '37025002-02' '37025002-03' '37025002-07' '37025012-09']
293,"['37025002-01' '37025004-01' '37025004-08' '37025004-13' '37025012-03'
 '37025012-08' '37025012-11' '37025012-13']"
294,"['37025002-01' '37025002-02' '37025002-05' '37025002-08' '37025002-09'
 '37025004-08']"
295,"['37025002-01' '37025002-02' '37025002-07' '37025002-09' '37025003-00'
 '37025004-08' '37119000127' '37119000202' '37119000241']"
296,"['37025002-02' '37025002-03' '37025002-07' '37025002-08' '37119000145'
 '37119000212' '37119000241']"
297,"['37025002-08' '37025004-08' '37025004-09' '37097000CC1' '37097000CC3'
 '37119000127' '37119000202' '37159000044']"
