,neighbors
234,"['1304700BLCK' '1304700CHAM' '1304700POPS' '13295000869' '13295000944'
 '133130000TR']"
235,['1304900004A' '1304900004H' '1304900005F']
236,['1304900003S']
237,['1304900003B' '1304900004A' '13299000407']
238,['13049000002' '1304900003S' '1304900004H' '1304900005R' '13299000407']
239,['13049000002' '1304900004A' '1304900005F' '1304900005R']
240,"['13039000001' '13039000004' '13049000002' '1304900004H' '1304900005R'
 '1304900005W']"
241,"['13025000001' '1304900004A' '1304900004H' '1304900005F' '1304900005W'
 '13299000400' '13299000407']"
242,['13025000001' '13025000002' '13039000001' '1304900005F' '1304900005R']
243,"['1305101-05C' '1305102-05C' '1305102-09C' '1305102-11C' '1305102-12C'
 '1305105-02C']"
244,"['1305101-01C' '1305101-06C' '1305101-08C' '1305102-11C' '1305105-02C'
 '1305105-10C']"
245,"['1305101-05C' '1305101-08C' '1305101-09C' '1305102-11C' '1305105-06C'
 '1305105-10C']"
246,"['1305101-05C' '1305101-06C' '1305101-09C' '1305101-13C' '1305101-14C'
 '1305102-11C' '1305103-08C' '1305103-09C' '1305103-11C' '1305103-14C'
 '1305106-06C']"
247,"['1305101-06C' '1305101-08C' '1305105-01C' '1305105-06C' '1305105-11C'
 '1305106-06C']"
248,"['1305101-12C' '1305101-14C' '1305101-16C' '1305103-13C' '1305104-13C'
 '1305104-15C']"
249,"['1305101-10C' '1305101-14C' '1305101-17C' '1305103-12C' '1305103-13C'
 '1305104-12C' '1305104-15C']"
250,['1305101-08C' '1305101-14C' '1305101-16C' '1305106-01C' '1305106-06C']
251,"['1305101-08C' '1305101-10C' '1305101-12C' '1305101-13C' '1305101-16C'
 '1305103-13C' '1305103-14C']"
252,"['1305101-10C' '1305101-13C' '1305101-14C' '1305104-13C' '1305106-01C'
 '1305106-02C']"
253,"['1305101-12C' '1305103-03C' '1305103-12C' '1305103-15C' '1305104-02C'
 '1305104-04C' '1305104-07C' '1305104-08C' '1305104-12C']"
254,['1305102-03C' '1305102-06C' '1305102-07C' '1305103-01C' '1305103-02C']
255,['1305102-02C' '1305102-04C' '1305102-07C' '1305103-02C' '1305108-02C']
256,"['1305102-03C' '1305102-05C' '1305102-07C' '1305102-09C' '1305102-12C'
 '1305108-02C']"
257,['1305101-01C' '1305102-04C' '1305102-09C' '1305102-12C']
258,['1305102-02C' '1305102-07C' '1305103-01C' '1305103-03C' '1305103-15C']
259,"['1305102-02C' '1305102-03C' '1305102-04C' '1305102-06C' '1305102-09C'
 '1305103-03C' '1305103-04C' '1305103-05C']"
260,"['1305101-01C' '1305102-04C' '1305102-05C' '1305102-07C' '1305102-11C'
 '1305103-05C' '1305103-10C']"
261,"['1305101-01C' '1305101-05C' '1305101-06C' '1305101-08C' '1305102-09C'
 '1305103-08C' '1305103-09C' '1305103-10C']"
262,"['1305101-01C' '1305102-04C' '1305102-05C' '1305105-02C' '1305108-02C'
 '1305108-05C' '1305108-06C']"
263,"['1305102-02C' '1305102-06C' '1305103-02C' '1305103-15C' '1305108-01C'
 '1305108-07C']"
264,"['1305102-02C' '1305102-03C' '1305103-01C' '1305108-01C' '1305108-02C'
 '1305108-05C']"
265,"['1305101-17C' '1305102-06C' '1305102-07C' '1305103-04C' '1305103-05C'
 '1305103-12C' '1305103-15C']"
266,['1305102-07C' '1305103-03C' '1305103-05C']
267,"['1305102-07C' '1305102-09C' '1305103-03C' '1305103-04C' '1305103-10C'
 '1305103-12C']"
268,['1305101-08C' '1305102-11C' '1305103-09C' '1305103-10C' '1305103-11C']
269,['1305101-08C' '1305102-11C' '1305103-08C' '1305103-10C' '1305103-11C']
270,"['1305102-09C' '1305102-11C' '1305103-05C' '1305103-08C' '1305103-09C'
 '1305103-11C' '1305103-12C' '1305103-13C' '1305103-14C']"
271,['1305101-08C' '1305103-08C' '1305103-09C' '1305103-10C' '1305103-14C']
272,"['1305101-12C' '1305101-17C' '1305103-03C' '1305103-05C' '1305103-10C'
 '1305103-13C']"
273,"['1305101-10C' '1305101-12C' '1305101-14C' '1305103-10C' '1305103-12C'
 '1305103-14C']"
274,['1305101-08C' '1305101-14C' '1305103-10C' '1305103-11C' '1305103-13C']
275,"['1305101-17C' '1305102-06C' '1305103-01C' '1305103-03C' '1305104-02C'
 '130510XFTPU']"
276,['1305101-17C' '1305103-15C' '1305104-04C' '1305104-07C' '130510XFTPU']
277,"['1305101-17C' '1305104-02C' '1305104-05C' '1305104-06C' '1305104-07C'
 '130510XFTPU']"
278,['1305104-04C' '1305104-06C' '130510XFTPU']
279,['1305104-04C' '1305104-05C' '1305104-07C' '1305104-10C' '130510XFTPU']
280,"['1305101-17C' '1305104-02C' '1305104-04C' '1305104-06C' '1305104-08C'
 '1305104-10C']"
281,['1305101-17C' '1305104-07C' '1305104-10C' '1305104-12C']
282,"['1305104-06C' '1305104-07C' '1305104-08C' '1305104-11C' '1305104-12C'
 '130510XFTPU']"
283,['1305104-10C']
284,"['1305101-12C' '1305101-17C' '1305104-08C' '1305104-10C' '1305104-13C'
 '1305104-14C' '1305104-15C' '1305106-10C']"
285,"['1305101-10C' '1305101-16C' '1305104-12C' '1305104-14C' '1305104-15C'
 '1305106-02C' '1305106-10C']"
286,['1305104-12C' '1305104-13C' '1305104-15C']
287,['1305101-10C' '1305101-12C' '1305104-12C' '1305104-13C' '1305104-14C']
288,['1305101-09C' '1305105-11C' '1305106-01C' '1305106-06C']
289,"['1305101-01C' '1305101-05C' '1305102-12C' '1305105-03C' '1305105-10C'
 '1305108-06C']"
290,['1305105-02C' '1305105-05C' '1305105-10C' '1305108-06C' '1305108-12C']
291,['1305105-03C' '1305105-06C' '1305105-10C' '1305108-12C']
292,"['1305101-06C' '1305101-09C' '1305105-05C' '1305105-10C' '1305105-11C'
 '1305106-08C' '1305106-09C' '1305106-10C' '1305107-10C' '1305108-03C'
 '1305108-12C']"
293,['1305105-08C' '1305106-01C' '1305106-05C' '1305106-08C' '1305106-09C']
294,['1305105-07C' '1305105-11C' '1305106-01C' '1305106-08C']
295,"['1305101-05C' '1305101-06C' '1305105-02C' '1305105-03C' '1305105-05C'
 '1305105-06C']"
296,"['1305101-09C' '1305105-01C' '1305105-06C' '1305105-08C' '1305106-01C'
 '1305106-08C']"
297,"['1305101-13C' '1305101-16C' '1305105-01C' '1305105-07C' '1305105-08C'
 '1305105-11C' '1305106-02C' '1305106-05C' '1305106-06C']"
298,"['1305101-16C' '1305104-13C' '1305106-01C' '1305106-03C' '1305106-05C'
 '1305106-10C']"
299,['1305106-02C' '1305106-05C' '1305106-09C' '1305106-10C']
300,['1305105-07C' '1305106-01C' '1305106-02C' '1305106-03C' '1305106-09C']
301,['1305101-08C' '1305101-09C' '1305101-13C' '1305105-01C' '1305106-01C']
302,['1305105-06C' '1305105-07C' '1305105-08C' '1305105-11C' '1305106-09C']
